
1 tensor(0.2043, device='cuda:0', grad_fn=<AddBackward0>)
2 tensor(0.2195, device='cuda:0', grad_fn=<AddBackward0>)
3 tensor(0.2461, device='cuda:0', grad_fn=<AddBackward0>)
4 tensor(0.3101, device='cuda:0', grad_fn=<AddBackward0>)
5 tensor(0.1485, device='cuda:0', grad_fn=<AddBackward0>)
6 tensor(0.1911, device='cuda:0', grad_fn=<AddBackward0>)
7 tensor(0.1453, device='cuda:0', grad_fn=<AddBackward0>)
8 tensor(0.1435, device='cuda:0', grad_fn=<AddBackward0>)
9 tensor(0.3185, device='cuda:0', grad_fn=<AddBackward0>)
10 tensor(0.2472, device='cuda:0', grad_fn=<AddBackward0>)
11 tensor(0.2152, device='cuda:0', grad_fn=<AddBackward0>)
12 tensor(0.2708, device='cuda:0', grad_fn=<AddBackward0>)
13 tensor(0.1733, device='cuda:0', grad_fn=<AddBackward0>)
14 tensor(0.2029, device='cuda:0', grad_fn=<AddBackward0>)
15 tensor(0.1782, device='cuda:0', grad_fn=<AddBackward0>)
16 tensor(0.1950, device='cuda:0', grad_fn=<AddBackward0>)
17 tensor(0.1311, device='cuda:0', grad_fn=<AddBackward0>)
18 tensor(0.2408, device='cuda:0', grad_fn=<AddBackward0>)
19 tensor(0.1282, device='cuda:0', grad_fn=<AddBackward0>)
20 tensor(0.1446, device='cuda:0', grad_fn=<AddBackward0>)
21 tensor(0.2346, device='cuda:0', grad_fn=<AddBackward0>)
22 tensor(0.1672, device='cuda:0', grad_fn=<AddBackward0>)
23 tensor(0.1241, device='cuda:0', grad_fn=<AddBackward0>)
24 tensor(0.2333, device='cuda:0', grad_fn=<AddBackward0>)
25 tensor(0.2639, device='cuda:0', grad_fn=<AddBackward0>)
26 tensor(0.1597, device='cuda:0', grad_fn=<AddBackward0>)
27 tensor(0.1767, device='cuda:0', grad_fn=<AddBackward0>)
28 tensor(0.2046, device='cuda:0', grad_fn=<AddBackward0>)
29 tensor(0.1018, device='cuda:0', grad_fn=<AddBackward0>)
30 tensor(0.2387, device='cuda:0', grad_fn=<AddBackward0>)
31 tensor(0.2514, device='cuda:0', grad_fn=<AddBackward0>)
32 tensor(0.2163, device='cuda:0', grad_fn=<AddBackward0>)
33 tensor(0.1706, device='cuda:0', grad_fn=<AddBackward0>)
34 tensor(0.2704, device='cuda:0', grad_fn=<AddBackward0>)
35 tensor(0.2295, device='cuda:0', grad_fn=<AddBackward0>)
36 tensor(0.2354, device='cuda:0', grad_fn=<AddBackward0>)
37 tensor(0.1588, device='cuda:0', grad_fn=<AddBackward0>)
38 tensor(0.1763, device='cuda:0', grad_fn=<AddBackward0>)
39 tensor(0.1421, device='cuda:0', grad_fn=<AddBackward0>)
40 tensor(0.2367, device='cuda:0', grad_fn=<AddBackward0>)
